country,code,value
Aruba,ABW,
Afghanistan,AFG,19291104007.8299
Angola,AGO,88815697793.303
Albania,ALB,15279183289.9372
Andorra,AND,3154057987.23833
Arab World,ARB,2817414584665.11
United Arab Emirates,ARE,421142267937.65
Argentina,ARG,445445177459.426
Armenia,ARM,13672802157.8324
American Samoa,ASM,
Antigua and Barbuda,ATG,1661962962.96296
Australia,AUS,1396567014733.23
Austria,AUT,445075391688.156
Azerbaijan,AZE,48047647058.8235
Burundi,BDI,3012334881.64057
Belgium,BEL,533097455834.509
Benin,BEN,14390709094.9386
Burkina Faso,BFA,15990803569.9961
Bangladesh,BGD,302571254131.135
Bulgaria,BGR,68558815111.6199
Bahrain,BHR,38574069148.9362
Bahamas, The,13022100000
Bosnia and Herzegovina,BIH,20164193806.88
Belarus,BLR,63080457022.6599
Belize,BLZ,1879613600
Bermuda,BMU,7484113000
Bolivia,BOL,40895322843.7851
Brazil,BRA,1839758040765.62
Barbados,BRB,5209000000
Brunei Darussalam,BRN,13469422958.5105
Bhutan,BTN,2530547157.56678
Botswana,BWA,18340480936.0444
Central African Republic,CAF,2220307368.69593
Canada,CAN,1736425629519.96
Central Europe and the Baltics,CEB,1668851928931.89
Switzerland,CHE,703082435158.864
Channel Islands,CHI,
Chile,CHL,282318159744.65
China,CHN,14342903006431.3
Cote d'Ivoire,CIV,58539424929.7248
Cameroon,CMR,39007354359.2798
Congo, Dem. Rep.,46831342212.5473
Congo, Rep.,13518403446.9566
Colombia,COL,323615979418.651
Comoros,COM,1165839927.06327
Cabo Verde,CPV,1981845740.35828
Costa Rica,CRI,61801385049.0716
Caribbean small states,CSS,77721714917.8506
Cuba,CUB,
Curacao,CUW,3101787709.49721
Cayman Islands,CYM,
Cyprus,CYP,24948935408.0376
Czech Republic,CZE,250680504529.647
Germany,DEU,3861123558039.21
Djibouti,DJI,3324634256.13324
Dominica,DMA,582403703.703704
Denmark,DNK,350104327658.675
Dominican Republic,DOM,88941299734.2073
Algeria,DZA,171091289782.245
East Asia & Pacific (excluding high income),EAP,17214775860650.6
Early-demographic dividend,EAR,11989867025219.9
East Asia & Pacific,EAS,26987767528542.9
Europe & Central Asia (excluding high income),ECA,3248461689441.89
Europe & Central Asia,ECS,22792819661712.7
Ecuador,ECU,107435665000
Egypt, Arab Rep.,249712999437.254
Euro area,EMU,13356063677260.5
Eritrea,ERI,
Spain,ESP,1393490524517.64
Estonia,EST,31471100656.2431
Ethiopia,ETH,95912590628.1412
European Union,EUU,15626448476438.3
Fragile and conflict affected situations,FCS,1778456492418.56
Finland,FIN,269296310180.392
Fiji,FJI,5496250694.31587
France,FRA,2715518274227.45
Faroe Islands,FRO,
Micronesia, Fed. Sts.,401932300
Gabon,GAB,16874450215.1351
United Kingdom,GBR,2829108219165.8
Georgia,GEO,17477255545.6705
Ghana,GHA,66983634223.943
Gibraltar,GIB,
Guinea,GIN,12296665331.192
Gambia, The,1670670668.5939
Guinea-Bissau,GNB,1339449165.48759
Equatorial Guinea,GNQ,11026774945.3415
Greece,GRC,209852761132.839
Grenada,GRD,1210603703.7037
Greenland,GRL,
Guatemala,GTM,76710355347.0968
Guam,GUM,
Guyana,GUY,5173759527.57794
High income,HIC,55140634994666.1
Hong Kong SAR, China,361696880780.762
Honduras,HND,25095395475.0393
Heavily indebted poor countries (HIPC),HPC,783061756161.729
Croatia,HRV,60752588976.3175
Haiti,HTI,14332163266.3977
Hungary,HUN,163469042867.956
IBRD only,IBD,31604112806477.3
IDA & IBRD total,IBT,33917225227399.3
IDA total,IDA,2320313648145.49
IDA blend,IDB,991547520067.22
Indonesia,IDN,1119190780752.8
IDA only,IDX,1331970889524.39
Isle of Man,IMN,
India,IND,2868929415617.02
Not classified,INX,
Ireland,IRL,388698711348.156
Iran, Islamic Rep.,453996479250.212
Iraq,IRQ,234094042938.917
Iceland,ISL,24188038473.5438
Israel,ISR,394652210295.849
Italy,ITA,2003576145498.04
Jamaica,JAM,16458071067.8176
Jordan,JOR,44502895861.6837
Japan,JPN,5081769542379.77
Kazakhstan,KAZ,181665908556.499
Kenya,KEN,95503088538.092
Kyrgyz Republic,KGZ,8454619607.81795
Cambodia,KHM,27089389786.979
Kiribati,KIR,194647201.946472
St. Kitts and Nevis,KNA,1053244444.44444
Korea, Rep.,1724845615629.26
Kuwait,KWT,134628542746.97
Latin America & Caribbean (excluding high income),LAC,5149595087470.17
Lao PDR,LAO,18173839147.4011
Lebanon,LBN,51991634491.6345
Liberia,LBR,3070518100
Libya,LBY,52091152228.3425
St. Lucia,LCA,2122450629.62963
Latin America & Caribbean,LCN,5733773582151.17
Least developed countries: UN classification,LDC,1115238042585.36
Low income,LIC,541511926907.273
Liechtenstein,LIE,
Sri Lanka,LKA,84008783756.068
Lower middle income,LMC,6334933300545.64
Low & middle income,LMY,32709070487543
Lesotho,LSO,2376328637.26318
Late-demographic dividend,LTE,22983532467508.6
Lithuania,LTU,54627411860.4705
Luxembourg,LUX,71104919108.1411
Latvia,LVA,34102913582.4235
Macao SAR, China,55084050789.7182
St. Martin (French part),MAF,
Morocco,MAR,119700325461.938
Monaco,MCO,
Moldova,MDA,11968713370.4969
Madagascar,MDG,14114631280.6774
Maldives,MDV,5642179170.45898
Middle East & North Africa,MEA,3649607782728.21
Mexico,MEX,1268870527160.03
Marshall Islands,MHL,
Middle income,MIC,32153305760637.5
North Macedonia,MKD,12547040498.9077
Mali,MLI,17279566718.6087
Malta,MLT,14989415684.1203
Myanmar,MMR,76085852617.1371
Middle East & North Africa (excluding high income),MNA,
Montenegro,MNE,5542577964.98146
Mongolia,MNG,13996719329.4097
Northern Mariana Islands,MNP,
Mozambique,MOZ,15291448211.603
Mauritania,MRT,7600656943.97506
Mauritius,MUS,14048430518.5561
Malawi,MWI,7666704427.00915
Malaysia,MYS,364681367531.684
North America,NAC,23177135742520
Namibia,NAM,12366528259.1844
New Caledonia,NCL,
Niger,NER,12911689659.351
Nigeria,NGA,448120428858.769
Nicaragua,NIC,12520915291.1837
Netherlands,NLD,907050863145.097
Norway,NOR,403336363636.364
Nepal,NPL,30641380603.9699
Nauru,NRU,118223430.124446
New Zealand,NZL,206928765543.935
OECD members,OED,53699374881339.8
Oman,OMN,76331518668.5771
Other small states,OSS,432092892349.402
Pakistan,PAK,278221906022.841
Panama,PAN,66800800000
Peru,PER,226848050819.525
Philippines,PHL,376795508678.853
Palau,PLW,268354919.433594
Papua New Guinea,PNG,24829107011.0701
Poland,POL,595858207011.512
Pre-demographic dividend,PRE,1403794376560.53
Puerto Rico,PRI,104988600000
Korea, Dem. Peopleâ€™s Rep.,
Portugal,PRT,238785085030.988
Paraguay,PRY,38145288939.8488
West Bank and Gaza,PSE,
Pacific island small states,PSS,10634784072.6223
Post-demographic dividend,PST,50769917916181.5
French Polynesia,PYF,
Qatar,QAT,175837550996.185
Romania,ROU,250077444017.084
Russian Federation,RUS,1699876578871.35
Rwanda,RWA,10354417725.1555
South Asia,SAS,3591836570466.89
Saudi Arabia,SAU,792966838161.659
Sudan,SDN,30513456084.7961
Senegal,SEN,23578084052.0147
Singapore,SGP,372062527488.638
Solomon Islands,SLB,1589913622.23799
Sierra Leone,SLE,4121733705.29165
El Salvador,SLV,27022640000
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,51475016532.1293
Sub-Saharan Africa (excluding high income),SSA,1751180043654.43
South Sudan,SSD,
Sub-Saharan Africa,SSF,1766941400078.09
Small states,SST,520457174770.632
Sao Tome and Principe,STP,418637388.988052
Suriname,SUR,3697371949.58434
Slovak Republic,SVK,105079673009.733
Slovenia,SVN,54174227308.8862
Sweden,SWE,530883869004.977
Eswatini,SWZ,4471598726.6436
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,1703387387.32319
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,1197415000
Chad,TCD,11314951342.7807
East Asia & Pacific (IDA & IBRD countries),TEA,17181893729969.4
Europe & Central Asia (IDA & IBRD countries),TEC,4155157371202.28
Togo,TGO,5490272413.38702
Thailand,THA,543548969968.693
Tajikistan,TJK,8116626794.25837
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,5487957496814.37
Timor-Leste,TLS,2017924900
Middle East & North Africa (IDA & IBRD countries),TMN,
Tonga,TON,512350059.421629
South Asia (IDA & IBRD),TSA,3591836570466.89
Sub-Saharan Africa (IDA & IBRD countries),TSS,1766941400078.09
Trinidad and Tobago,TTO,24269714809.9078
Tunisia,TUN,38796687568.157
Turkey,TUR,761425499358.159
Tuvalu,TUV,47271463.3298575
Tanzania,TZA,63177068174.549
Uganda,UGA,35165157016.9125
Ukraine,UKR,153781069118.148
Upper middle income,UMC,25807761543981.8
Uruguay,URY,56045912952.9732
United States,USA,21433226000000
Uzbekistan,UZB,57921286440.3495
St. Vincent and the Grenadines,VCT,824718518.518518
Venezuela, RB,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,261921244843.172
Vanuatu,VUT,934239973.812573
World,WLD,87798525859220.9
Samoa,WSM,852250190.985485
Kosovo,XKX,7926133713.61397
Yemen, Rep.,23486270352.3327
South Africa,ZAF,351431649241.439
Zambia,ZMB,23309773922.7582
Zimbabwe,ZWE,21440758800
